Model,Test log MAE,Typical multiplicative error,Test log R2,Test USD MAE,Test USD median AE
Median baseline,0.7356581594519033,2.086855023977426,-0.03864588432285032,55289.79132720105,39363.99999999991
Ridge,0.4602654540745128,1.5844945397046395,0.5609451350569866,34747.9252093583,20214.37153345466
Extra Trees,0.4525936849284909,1.5723851729085667,0.5539755326608791,33832.2776279142,19111.79178459091
Histogram gradient boosting,0.4222077333682846,1.5253253527475157,0.5639317779273219,31870.573993527112,17923.626804608735
