Model,Test log MAE,Typical multiplicative error,Test log R2,Test USD MAE,Test USD median AE
Primary range Ridge,0.4602654540745128,1.5844945397046395,0.5609451350569866,34747.9252093583,20214.37153345466
Strict range Ridge,0.40066689216466883,1.4928199156578505,0.5891463045567599,30778.616898335822,18810.62130440445
